,title,deputado_id,year,number,full_ref,vote,sessao_id,date,type
9520,"DVS - PV/PPS - §  4º DO ART. 76 CONSTANTE DA EMENDA 1",530017,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
29063,"DVS - DEM - CAPÍTULO I DO PLV",521607,2011,527,"MPV  N  527 2011",S,167,2011-06-28,MPV
11965,"DVS - PSDB - EXP. ""ATÉ 31 DE DEZEMBRO DE 2013"" EMENDA 4 SUB ART. 76 PEC",527082,2011,61,"PEC  N  61 2011",N,316,2011-11-09,PEC
21197,"EMENDA Nº 1",522117,2011,61,"PEC  N  61 2011",N,314,2011-11-08,PEC
12938,"REQUERIMENTO DE RETIRADA DE PAUTA",530047,2011,61,"PEC  N  61 2011",A,313,2011-11-08,PEC
13588,"DVS - DEM - § 3º DO ART. 1º DA MP, CONSTANTE DO ART. 12 DO PLV",531198,2011,532,"MPV  N  532 2011",N,215,2011-08-23,MPV
9425,"SUBSTITUTIVO DA COMISSÃO ESPECIAL",527540,2011,1749,"PL   N  1749 2011",O,252,2011-09-20,PL
4364,"DVS - PV/PPS - §  4º DO ART. 76 CONSTANTE DA EMENDA 1",530187,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
16995,"REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO",526213,2010,511,"MPV  N  511 2010",S,58,2011-04-05,MPV
18954,"DVS - PV-PPS - EMENDA 64",524876,2010,517,"MPV  N  517 2010",N,126,2011-05-25,MPV
15738,"DVS - PSDB - ART. 20 DO PLV",530198,2010,517,"MPV  N  517 2010",N,126,2011-05-25,MPV
19445,"DVS - DEM- EXP "" E DE INTERVENÇÃO DE DOMINIO ECONÔMICO"" CAP ART. 76",524882,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
10476,"DVS - PSDB - EXPRESSÃO ""JÁ INSTITUIDOS  "" CAPUT  ART. 76",530037,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
