party,state,name,id
PT,SP,JOSÉ GENOÍNO,5829191
PMDB,TO,LEOMAR QUINTANILHA,5829215
DEM,BA,LUIZ DE DEUS,5829183
PR,RJ,MANUEL ROSA NECA,5829188
PMDB,PR,MARCELO ALMEIDA,5829218
PMDB,BA,MARCELO GUIMARÃES FILHO,5829214
DEM,RR,MARCIO JUNQUEIRA ,5829212
PT,MG,MARGARIDA SALOMÃO,5829184
PDT,MG,MÁRIO HERINGER,5829216
PT,MG,NILMÁRIO MIRANDA,5829185
PSDB,PA,NILSON PINTO,521683
PRB,PR,OLIVEIRA FILHO,5829195
PMDB,TO,OSVALDO REIS,5829194
PT,AL,PAULÃO,5829182
PMDB,CE,PAULO HENRIQUE LUSTOSA,5829217
PSC,PR,PROFESSOR SÉRGIO DE OLIVEIRA,5829177
PP,MG,RENATO ANDRADE,5829186
PSDB,RR,URZENI ROCHA,5829190
