explicacao_ementa,apreciacao,ementa,situacao,tipo,ano,numero,autor,regime_tramitacao,links_inteiro_teor,data,id
"Define os Crimes de Genocídio, os Crimes de Guerra e os Crimes contra a Humanidade.",Proposição Sujeita à Apreciação do Plenário,"Define condutas que constituem crimes de violação do direito internacional humanitário, estabelece normas para a cooperação judiciária com o Tribunal Penal Internacional e dá outras providências.",PLEN - Pronta para Pauta,PL,2007,301,Dr. Rosinha,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=439581,2007-03-06,343615
"
  ",Proposição Sujeita à Apreciação do Plenário,"Estabelece normas para as eleições, em 3 de outubro de 2010, de parlamentares do Mercosul.",PLEN - Pronta para Pauta,PL,2009,5279,Carlos Zarattini,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=659087,2009-05-26,435878
"Lei Geral da Copa.  Concede aos Símbolos Oficiais da FIFA a qualidade de ""Marca de Alto Renome"" e  ""Marca Notoriamente Conhecida""; define os crimes relacionados às competições: uso indevido de Símbolos Oficiais, Marketing de Emboscada por Associação e Marketing de Emboscada por Intrusão.",Proposição Sujeita à Apreciação do Plenário,"Dispõe sobre as medidas relativas à Copa das Confederações FIFA de 2013 e à Copa do Mundo FIFA de 2014, que serão realizadas no Brasil.",MESA - Aguardando Sanção,PL,2011,2330,Poder Executivo,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=921060,2011-09-19,520245
"Produtos como calculadora equipada com sintetizador de voz;  teclado com colmeia; acionador de pressão;  linha braille; digitalizador de imagens equipado com sintetizador de voz; lupa eletrônica do tipo utilizado por pessoas com deficiência visual;  implantes cocleares; próteses oculares, dentre outros.
",Proposição Sujeita à Apreciação do Plenário,"Reduz a zero as alíquotas da Contribuição para o PIS/PASEP, da Contribuição para o Financiamento da Seguridade Social - COFINS, da Contribuição para o PIS/PASEP - Importação e da COFINS - Importação incidentes sobre a importação e a receita de venda no mercado interno dos produtos que menciona.",Tranformada no(a) Lei Ordinária 12649/2012,MPV,2011,549,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=940204,2011-11-18,527723
Autoriza as instituições financeiras a utilizarem os depósitos à vista para operações de crédito de pessoas com deficiência para aquisição de bens e serviços de tecnologia assistiva.,Proposição Sujeita à Apreciação do Plenário,"Altera a Lei nº 10.735, de 11 de setembro de 2003, que dispõe sobre o direcionamento de depósitos à vista captados pelas instituições financeiras para operações de crédito destinadas à população de baixa renda e a microempreendedores, e dá outras providências.",Tranformada no(a) Lei Ordinária 12613/2012,MPV,2011,550,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=940206,2011-11-18,527728
"Revoga o Decreto-lei nº 1.896, de 1981.",Proposição Sujeita à Apreciação do Plenário,"Altera dispositivos das Leis nº 7.920, de 12 de dezembro de 1989, nº 9.825, de 23 de agosto de 1999, nº 8.399, de 7 de janeiro de 1992, nº 6.009, de 26 de dezembro de 1973, nº 5.862, de 12 de dezembro de 1972, nº 12.462, de 5 de agosto de 2011; e dá outras providências.",Tranformada no(a) Lei Ordinária 12648/2012,MPV,2011,551,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=941695,2011-11-23,528165
"Estabelece a pena de perdimento da gleba onde for constada a exploração de trabalho escravo (expropriação de terras), revertendo a área ao assentamento dos colonos que já trabalhavam na respectiva gleba. ",Proposição Sujeita à Apreciação do Plenário,Dá nova redação ao art. 243 da Constituição Federal.,MESA - Aguardando Retorno ,PEC,2001,438,Senado Federal - ADEMIR ANDRADE,Especial,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=43520,2001-11-01,36162
Altera a Constituição Federal de 1988.,Proposição Sujeita à Apreciação do Plenário,Acrescenta o art. 216-A à Constituição para instituir o Sistema Nacional de Cultura.,MESA - Aguardando Retorno ,PEC,2005,416,Paulo Pimenta,Especial,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=316130,2005-06-16,290677
"Estabelece a efetivação para os atuais responsáveis e substitutos pelos serviços notariais, investidos na forma da lei.  Altera a Constituição Federal de 1988.  Conhecida como ""PEC dos Cartórios"".",Proposição Sujeita à Apreciação do Plenário,Dá nova redação ao parágrafo 3º do art. 236 da Constituição Federal.,PLEN - Pronta para Pauta,PEC,2005,471,João Campos,Especial,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=349599,2005-10-20,304008
"Autoriza a concessão de financiamento, por meio do Banco da Terra, ao beneficiário de imóvel rural objeto de partilha decorrente de direito de herança, visando a permitir a continuidade da propriedade para um ou mais membros da família.",Proposição Sujeita à Apreciação do Plenário,"Altera dispositivo da Lei Complementar nº 93, de 4 de fevereiro de 1998, que institui o Fundo de Terras e da Reforma Agrária - Banco da Terra -  e dá outras providências.",MESA - Aguardando Retorno ,PLP,2006,362,Poder Executivo,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=398618,2006-05-25,325847
